,strategy_type,position_size,stop_loss,take_profit,trailing_stop,entry_strategy,risk_reward_ratio,expected_win_rate
BIMAS,POSITION_TRADING,0.15,14.583008232459804,18.799114687420445,20,Avoid trading,1.2891108876683042,43.68508338268415
ARCLK,POSITION_TRADING,0.15,17.075768990556305,29.350072744367093,3,Avoid trading,1.7188141137654795,36.78074182920246
ASELS,POSITION_TRADING,0.15,15.294873828643189,26.31578702761287,15,Avoid trading,1.7205625441859136,36.757103862107115
AKBNK,POSITION_TRADING,0.15,19.754346964141927,28.70999266338938,20,Avoid trading,1.4533506329267039,40.7605821434117
DOHOL,POSITION_TRADING,0.15,17.869585553251866,31.77500921002772,3,Avoid trading,1.778161508857455,35.995027532119956
EREGL,POSITION_TRADING,0.15,20.061658843538268,19.274814370198186,3,Avoid trading,0.9607786933534901,51.00014618629475
FROTO,POSITION_TRADING,0.15,17.300899334446076,29.898864975157323,20,Avoid trading,1.7281682528276845,36.65463077519221
EKGYO,POSITION_TRADING,0.15,23.043850991405552,35.28480503307895,5,Avoid trading,1.531202620874384,39.5069123172193
GARAN,POSITION_TRADING,0.15,17.039323375829923,33.2899056417274,20,Avoid trading,1.9537105381161282,33.85572103615131
ISCTR,POSITION_TRADING,0.15,19.83805683647893,34.30851396896722,3,Avoid trading,1.729429159910435,36.637697533531686
GUBRF,DAY_TRADING,0.1,23.287677810075966,31.30902481259068,10,Avoid trading,1.3444459798840092,42.65400050076969
HALKB,POSITION_TRADING,0.15,20.239043213148335,20.931539852616208,3,Avoid trading,1.0342158782989301,49.158990973771616
KOZAA,DAY_TRADING,0.1,25.28530423332097,34.715463488141594,3,Avoid trading,1.372950199364956,42.14163450491367
KCHOL,POSITION_TRADING,0.15,18.564437736415634,24.552007722120667,3,Avoid trading,1.3225290240791907,43.05651251856663
KOZAL,POSITION_TRADING,0.15,20.811960114166098,26.487629000899837,3,Avoid trading,1.2727118856464883,44.000297895900836
KRDMD,POSITION_TRADING,0.15,25.704318797776967,27.42552562757412,3,Avoid trading,1.0669617756976315,48.38018834008116
PETKM,POSITION_TRADING,0.15,21.96372195443918,27.213269269345925,3,Avoid trading,1.2390099148858391,44.662598113192686
SAHOL,POSITION_TRADING,0.15,15.657051014714357,26.00000336251105,20,Avoid trading,1.6605938971570366,37.58559324173992
PGSUS,POSITION_TRADING,0.15,16.373009534072473,30.17349103017891,20,Avoid trading,1.8428799523622967,35.175597167550045
SASA,DAY_TRADING,0.1,23.553415396741425,30.874511958254658,15,Avoid trading,1.3108295097842197,43.274503625902625
THYAO,POSITION_TRADING,0.15,16.527540654369652,29.462411651317186,20,Avoid trading,1.7826252718082247,35.93728591957239
SISE,POSITION_TRADING,0.15,16.243476869597515,20.427939653262452,15,Avoid trading,1.257608812279401,44.29465346524526
TAVHL,POSITION_TRADING,0.15,18.776927673981834,33.79587118861514,3,Avoid trading,1.7998616054448693,35.716051038212306
TKFEN,DAY_TRADING,0.1,25.20407314329673,40.06959746115415,3,Avoid trading,1.5898064266573142,38.61292449145355
AEFES,DAY_TRADING,0.1,18.496772493263663,30.49837411561327,20,Avoid trading,1.648848420810737,37.75225460783175
ANSGR,POSITION_TRADING,0.15,15.416913693730447,17.83822664183209,20,Avoid trading,1.1570556206127243,46.35949070779844
ALGYO,POSITION_TRADING,0.15,21.89965182693956,28.850372729581604,3,Avoid trading,1.31738956206106,43.15200242425409
ENKAI,POSITION_TRADING,0.15,16.99576960254671,26.343689859347542,3,Avoid trading,1.5500145315808533,39.21546279895359
ISDMR,POSITION_TRADING,0.15,19.257588846916494,21.892708969528993,3,Avoid trading,1.1368354129667917,46.79817612211862
EGEEN,DAY_TRADING,0.1,25.36761627945262,23.99414909683783,3,Avoid trading,0.9458574598620337,51.391225751494794
DOAS,DAY_TRADING,0.1,20.264901692074883,30.1582312322522,20,Avoid trading,1.4882002237418384,40.18969174820532
AKSEN,POSITION_TRADING,0.15,18.810523928447417,32.48301698967228,20,Avoid trading,1.726853388732451,36.672305307357924
ODAS,DAY_TRADING,0.1,23.59429827374082,17.142858115994215,20,Avoid trading,0.7265678307997526,57.918373211945934
